KEYS,en,pt,es,fr,it,de,da,sv,no,is,hu,pl,tr,ru,uk,cs,sk
TEXT_CONTROLS_LEFT,Left,Esquerda,Izquierda,Gauche,Sinistra,Links,Venstre,Vänster,Venstre,Vinstri,Balra,Lewo,Sola,Влево,Ліворуч,Doleva,Doľava
TEXT_CONTROLS_RIGHT,Right,Direita,Derecha,Droite,Destra,Rechts,Højre,Höger,Høyre,Hægri,Jobbra,Prawo,Sağ,Вправо,Праворуч,Doprava,Doprava
TEXT_CONTROLS_ANGLE_UP,Angle up,Diagonal pra cima,Ángulo arriba,Angle haut,Angolo alto,Winkel oben,Vinkel op,Vinkel upp,Vinkel opp,Horn upp,Szög fel,Kąt góra,Açı yukarı,Угол вверх,Кут вгору,Úhel nahoru,Uhol hore
TEXT_CONTROLS_ANGLE_DOWN,Angle down,Diagonal pra baixo,Ángulo abajo,Angle bas,Angolo basso,Winkel unten,Vinkel ned,Vinkel ner,Vinkel ned,Horn niður,Szög le,Kąt dół,Açı aşağı,Угол вниз,Кут вниз,Úhel dolů,Uhol dolu
TEXT_CONTROLS_DODGE,Dodge,Desviar,Esquivar,Esquiver,Schiva,Ausweichen,Dodge,Dodge,Unngå,Fara undan,Kitérés,Unik,Kaçın,Уклонение,Ухилення,Uhýbat,Uhnúť
TEXT_CONTROLS_MAP,Map,Mapa,Mapa,Carte,Mappa,Karte,Kort,Karta,Kart,Kort,Mapa,Mapa,Harita,Карта,Мапа,Mapa,Mapa
TEXT_CONTROLS_MOONWALK,Lock direction,Travar direção,Bloquear dirección,Verrouiller direction,Blocca direzione,Richtung sperren,Lås retning,Lås riktning,Lås retning,Læsa stefnu,Irány rögzítése,Blokuj kierunek,Yön kilidi,Блокировать направление,Заблокувати напрямок,Zamknout směr,Zamknúť smer
TEXT_BACK_TITLE,Back to title screen,Voltar pro título,Volver al título,Retour au menu,Menu principale,Zum Titel,Til titel,Till titel,Til tittel,Aftur í valmynd,Vissza a címhez,Do tytułu,Başlığa dön,В меню,У меню,Zpět na titul,Naspäť na titul
TEXT_RESUME,Resume,Continuar,Continuar,Reprendre,Continua,Fortsetzen,Genoptag,Fortsätt,Fortsett,Halda áfram,Folytatás,Wznów,Sürdür,Продолжить,Продовжити,Pokračovat,Pokračovať
TEXT_BACK_TITLE_CONFIRM,Are you sure you want to go back?,Tem certeza de que deseja voltar?,¿Seguro que quieres volver?,Êtes-vous sûr de vouloir revenir ?,Sei sicuro di voler tornare?,Sicher zurück?,Er du sikker på at gå tilbage?,Är du säker på att gå tillbaka?,Er du sikker på at gå tilbake?,Ertu viss?,Biztos vissza akarsz menni?,Czy na pewno wrócić?,Emin misin?,Вы уверены?,Ви впевнені?,Opravdu se chcete vrátit?,Naozaj sa chcete vrátiť?
TEXT_QUIT_CONFIRM,Are you sure you want to quit?,Tem certeza de que deseja sair?,¿Seguro que quieres salir?,Êtes-vous sûr de vouloir quitter ?,Sei sicuro di voler uscire?,Sicher beenden?,Er du sikker på at afslutte?,Är du säker på att avsluta?,Er du sikker på å avslutte?,Ertu viss um að hætta?,Biztos kilépsz?,Czy na pewno chcesz wyjść?,Emin misin?,Вы уверены что хотите выйти?,Ви впевнені що хочете вийти?,Opravdu chcete ukončit?,Naozaj chcete ukončiť?
TEXT_BENCH,Bench,Banco,Banco,Banc,Panchina,Bank,Bænk,Bänk,Benk,Bekkur,Pad,Bańka,Banka,Скамья,Лава,Lavice,Lavica
TEXT_LANGUAGE,Language,Idioma,Idioma,Langue,Lingua,Sprache,Sprog,Språk,Språk,Tungumál,Nyelv,Język,Dil,Язык,Мова,Jazyk,Jazyk
TEXT_PROCEDURAL,Gauntlet,Desafio,Guantelete,Épreuve,Duello,Prüfung,Udfordring,Utmaning,Utfordring,Þrekraun,Kihívás,Rękawica,Meydan Okuma,Испытание,Випробування,Zkouška,Skúška
